candidate_id,rank,score,reasoning
CAND_0018499,1,0.9941,"Senior Machine Learning Engineer with 7.2yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0079064,2,0.9925,"Senior Data Scientist with 5.2yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0046525,3,0.9909,"Senior Machine Learning Engineer with 6.1yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0007009,4,0.9849,"Recommendation Systems Engineer with 7.9yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0027691,5,0.9846,"NLP Engineer with 6.5yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0090155,6,0.9839,"ML Engineer with 5.8yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0046064,7,0.9832,"Senior NLP Engineer with 8.9yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0011687,8,0.9808,"Senior NLP Engineer with 7.8yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh; responsive"
CAND_0081846,9,0.9802,"Lead AI Engineer with 6.7yrs; strong AI/ML skill alignment; Jaipur, Rajasthan; responsive"
CAND_0011162,10,0.9760,"Recommendation Systems Engineer with 5.8yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0020877,11,0.9753,"Applied ML Engineer with 5.1yrs; strong AI/ML skill alignment; Gurgaon, Haryana; responsive"
CAND_0086022,12,0.9747,"Senior Applied Scientist with 5.3yrs; strong AI/ML skill alignment; Kolkata, West Bengal; responsive"
CAND_0080766,13,0.9739,"Staff Machine Learning Engineer with 8.8yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0042029,14,0.9737,"Senior Data Scientist with 6.5yrs; strong AI/ML skill alignment; Delhi, Delhi; responsive"
CAND_0017960,15,0.9731,"Recommendation Systems Engineer with 7.7yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0005649,16,0.9727,"Senior Data Scientist with 7.4yrs; strong AI/ML skill alignment; Delhi, Delhi; responsive"
CAND_0005260,17,0.9719,"Senior NLP Engineer with 5.2yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu; responsive"
CAND_0008425,18,0.9708,"Senior NLP Engineer with 7.8yrs; strong AI/ML skill alignment; Kolkata, West Bengal; responsive"
CAND_0068811,19,0.9707,"Applied ML Engineer with 8.0yrs; strong AI/ML skill alignment; Pune, Maharashtra"
CAND_0044855,20,0.9701,"Senior Data Scientist with 6.6yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0067041,21,0.9670,"Data Scientist with 6.9yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh"
CAND_0094056,22,0.9666,"NLP Engineer with 5.9yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu; responsive"
CAND_0094759,23,0.9659,"Lead AI Engineer with 8.6yrs; strong AI/ML skill alignment; Mumbai, Maharashtra"
CAND_0092278,24,0.9657,"Senior NLP Engineer with 6.8yrs; strong AI/ML skill alignment; Pune, Maharashtra"
CAND_0030953,25,0.9647,"Search Engineer with 7.8yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu; responsive"
CAND_0035653,26,0.9638,"Data Scientist with 5.6yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh"
CAND_0033405,27,0.9627,"ML Engineer with 4.7yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0016163,28,0.9622,"Applied ML Engineer with 6.7yrs; strong AI/ML skill alignment; Gurgaon, Haryana; responsive"
CAND_0028793,29,0.9607,"Search Engineer with 7.2yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0018549,30,0.9589,"Recommendation Systems Engineer with 6.8yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0051630,31,0.9570,"Machine Learning Engineer with 6.0yrs; strong AI/ML skill alignment; Kolkata, West Bengal; responsive"
CAND_0077337,32,0.9554,"Staff Machine Learning Engineer with 7.0yrs; strong AI/ML skill alignment; Kochi, Kerala; responsive"
CAND_0022812,33,0.9552,"Applied ML Engineer with 4.5yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0090584,34,0.9545,"ML Engineer with 5.1yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0095213,35,0.9543,"ML Engineer with 5.1yrs; strong AI/ML skill alignment; Gurgaon, Haryana; responsive"
CAND_0057563,36,0.9540,"NLP Engineer with 6.8yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh; responsive"
CAND_0079387,37,0.9531,"AI Engineer with 6.9yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0096172,38,0.9525,"NLP Engineer with 5.2yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu"
CAND_0002025,39,0.9521,"Senior AI Engineer with 5.9yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0067866,40,0.9521,"Senior Software Engineer (ML) with 6.4yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0071974,41,0.9521,"Senior AI Engineer with 7.8yrs; strong AI/ML skill alignment; Vizag, Andhra Pradesh; responsive"
CAND_0075574,42,0.9518,"Machine Learning Engineer with 5.7yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0070485,43,0.9517,"Search Engineer with 6.4yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu"
CAND_0043228,44,0.9508,"Applied ML Engineer with 6.8yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu"
CAND_0072688,45,0.9506,"Data Scientist with 6.9yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0006557,46,0.9502,"NLP Engineer with 7.9yrs; strong AI/ML skill alignment; Jaipur, Rajasthan; responsive"
CAND_0069220,47,0.9499,"ML Engineer with 5.6yrs; strong AI/ML skill alignment; Jaipur, Rajasthan"
CAND_0054123,48,0.9497,"Applied ML Engineer with 4.7yrs; strong AI/ML skill alignment; Gurgaon, Haryana; responsive"
CAND_0016659,49,0.9496,"ML Engineer with 4.4yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0013393,50,0.9492,"ML Engineer with 5.3yrs; strong AI/ML skill alignment; Bangalore, Karnataka"
CAND_0048558,51,0.9463,"Data Scientist with 6.7yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0069905,52,0.9455,"Applied ML Engineer with 6.6yrs; strong AI/ML skill alignment; Bhubaneswar, Odisha; responsive"
CAND_0088025,53,0.9449,"Staff Machine Learning Engineer with 8.6yrs; strong AI/ML skill alignment; Jaipur, Rajasthan; responsive"
CAND_0021973,54,0.9441,"ML Engineer with 5.1yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu"
CAND_0030784,55,0.9439,"Data Scientist with 4.4yrs; strong AI/ML skill alignment; Delhi, Delhi; responsive"
CAND_0007411,56,0.9426,"Senior Machine Learning Engineer with 8.0yrs; strong AI/ML skill alignment; Kochi, Kerala"
CAND_0051292,57,0.9421,"Applied ML Engineer with 5.2yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0030348,58,0.9402,"Machine Learning Engineer with 4.5yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh; responsive"
CAND_0052735,59,0.9400,"Data Scientist with 3.5yrs; strong AI/ML skill alignment; Delhi, Delhi; responsive"
CAND_0096823,60,0.9398,"Data Scientist with 4.4yrs; strong AI/ML skill alignment; Jaipur, Rajasthan"
CAND_0089552,61,0.9393,"Machine Learning Engineer with 6.0yrs; strong AI/ML skill alignment; Kolkata, West Bengal"
CAND_0097176,62,0.9385,"ML Engineer with 5.9yrs; strong AI/ML skill alignment; Gurgaon, Haryana; responsive"
CAND_0011432,63,0.9379,"Senior Data Scientist with 7.6yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu; responsive"
CAND_0029367,64,0.9377,"Senior Data Scientist with 5.7yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0033649,65,0.9376,"Data Scientist with 5.3yrs; strong AI/ML skill alignment; Coimbatore, Tamil Nadu; responsive"
CAND_0070398,66,0.9375,"Machine Learning Engineer with 7.2yrs; strong AI/ML skill alignment; Kochi, Kerala; responsive"
CAND_0024990,67,0.9371,"Junior ML Engineer with 5.2yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0062247,68,0.9369,"AI Engineer with 7.3yrs; strong AI/ML skill alignment; Kochi, Kerala; responsive"
CAND_0053591,69,0.9367,AI Engineer with 5.3yrs; strong AI/ML skill alignment; Toronto; responsive
CAND_0010257,70,0.9363,"Senior Data Scientist with 6.5yrs; Noida, Uttar Pradesh; responsive"
CAND_0041352,71,0.9361,"Senior Data Engineer with 5.6yrs; strong AI/ML skill alignment; Noida, Uttar Pradesh"
CAND_0031752,72,0.9360,"ML Engineer with 5.0yrs; strong AI/ML skill alignment; Kolkata, West Bengal; responsive"
CAND_0002037,73,0.9337,"ML Engineer with 5.5yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh"
CAND_0093912,74,0.9330,"Senior Data Scientist with 5.3yrs; strong AI/ML skill alignment; Chandigarh, Chandigarh; responsive"
CAND_0075249,75,0.9329,"Applied ML Engineer with 6.2yrs; strong AI/ML skill alignment; Ahmedabad, Gujarat; responsive"
CAND_0050454,76,0.9322,"AI Engineer with 6.8yrs; strong AI/ML skill alignment; Delhi, Delhi; responsive"
CAND_0070225,77,0.9320,"ML Engineer with 6.0yrs; strong AI/ML skill alignment; Kolkata, West Bengal"
CAND_0086062,78,0.9318,"ML Engineer with 4.1yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh; responsive"
CAND_0022254,79,0.9315,"Senior Data Engineer with 5.7yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh"
CAND_0011125,80,0.9308,"Junior ML Engineer with 6.6yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0001707,81,0.9301,"Data Scientist with 5.6yrs; Pune, Maharashtra"
CAND_0064270,82,0.9290,"Applied ML Engineer with 4.2yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0008978,83,0.9286,"Junior ML Engineer with 6.7yrs; Pune, Maharashtra"
CAND_0073139,84,0.9283,"ML Engineer with 4.6yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0017918,85,0.9282,"ML Engineer with 3.2yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0065430,86,0.9280,"ML Engineer with 4.4yrs; strong AI/ML skill alignment; Mumbai, Maharashtra; responsive"
CAND_0040887,87,0.9267,Machine Learning Engineer with 4.7yrs; strong AI/ML skill alignment; Toronto; responsive
CAND_0097644,88,0.9262,"Senior Software Engineer with 4.6yrs; strong AI/ML skill alignment; Bangalore, Karnataka; responsive"
CAND_0058575,89,0.9261,"AI Engineer with 5.8yrs; strong AI/ML skill alignment; Chennai, Tamil Nadu; responsive"
CAND_0015582,90,0.9259,"ML Engineer with 4.4yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0054655,91,0.9256,"Data Engineer with 7.5yrs; strong AI/ML skill alignment; Ahmedabad, Gujarat"
CAND_0055905,92,0.9255,Senior Machine Learning Engineer with 8.1yrs; strong AI/ML skill alignment; London; responsive
CAND_0044222,93,0.9254,"AI Engineer with 7.7yrs; strong AI/ML skill alignment; Vizag, Andhra Pradesh; responsive"
CAND_0060054,94,0.9248,"AI Engineer with 6.4yrs; strong AI/ML skill alignment; Jaipur, Rajasthan; responsive"
CAND_0042359,95,0.9246,"Data Scientist with 6.9yrs; strong AI/ML skill alignment; Trivandrum, Kerala; responsive"
CAND_0082314,96,0.9246,"Junior ML Engineer with 4.0yrs; strong AI/ML skill alignment; Pune, Maharashtra; responsive"
CAND_0060072,97,0.9242,"Staff Machine Learning Engineer with 5.7yrs; strong AI/ML skill alignment; Indore, Madhya Pradesh"
CAND_0064904,98,0.9233,"AI Engineer with 4.9yrs; Hyderabad, Telangana; responsive"
CAND_0025293,99,0.9229,"Data Scientist with 6.4yrs; Noida, Uttar Pradesh; responsive"
CAND_0091580,100,0.9229,"Data Scientist with 5.5yrs; Noida, Uttar Pradesh"
